"","id","sent_time","day","email_id","open_time","predicted_values","residual_values"
"1",2001,881,5,360,946,933.400367656651,12.5996323433485
"2",97,1090,3,219,1162,957.36203607629,204.63796392371
"3",852,654,2,149,1276,930.697429132276,345.302570867724
"4",1612,1131,3,25,1268,951.035703621746,316.964296378254
"5",2297,881,5,441,1324,937.266497373738,386.733502626262
"6",1988,881,5,253,931,928.29325803009,2.70674196990958
"7",2065,881,5,328,1027,931.873007768248,95.1269922317522
"8",866,961,5,269,817,934.780424546242,-117.780424546242
"9",1944,881,5,66,893,919.367748682951,-26.3677486829513
"10",663,654,2,257,1127,935.852268755223,191.147731244777
"11",2039,881,5,75,975,919.79731865153,55.2026813484698
"12",1140,1150,4,266,698,956.028466212152,-258.028466212152
"13",1639,1131,3,149,1331,956.954223188834,374.045776811166
"14",1795,1131,3,150,1038,957.001953185343,80.9980468146574
"15",408,1138,3,51,1404,952.777488606026,451.222511393974
"16",803,654,2,130,1122,929.79055919861,192.20944080139
"17",1194,1150,4,207,974,953.212396418135,20.7876035818649
"18",1531,1131,3,253,1194,961.918142825745,232.081857174255
"19",986,1150,4,223,1207,953.976076362275,253.023923637725
"20",312,1138,3,211,13,960.414288047428,-947.414288047428
"21",1605,1131,3,238,1259,961.202192878114,297.797807121886
"22",1994,881,5,360,941,933.400367656528,7.59963234347169
"23",1495,999,3,328,1085,956.054139720084,128.945860279916
"24",1013,1150,4,101,1275,948.153016788206,326.846983211794
"25",1623,1131,3,10,1289,950.319753674115,338.680246325885
"26",2058,881,5,66,1012,919.367748682951,92.6322513170487
"27",533,654,2,253,739,935.661348769188,-196.661348769188
"28",911,1150,4,61,1155,946.243816927855,208.756183072145
"29",1340,1150,4,157,1145,950.825896592697,194.174103407303
"30",1584,1131,3,326,1236,965.402432570885,270.597567429115
"31",714,654,2,130,1163,929.79055919861,233.20944080139
"32",684,654,2,130,1147,929.79055919861,217.20944080139
"33",683,654,2,130,1146,929.79055919861,216.20944080139
"34",666,654,2,130,1144,929.79055919861,214.20944080139
"35",1360,1150,4,229,1120,954.262456341328,165.737543658672
"36",711,654,2,130,1159,929.79055919861,229.20944080139
"37",1351,1150,4,307,587,957.985396069012,-370.985396069012
"38",1782,1131,3,149,899,956.954223188834,-57.9542231888339
"39",737,654,2,130,1420,929.79055919861,490.20944080139
"40",745,654,2,130,0,929.79055919861,-929.79055919861
"41",2060,881,5,225,1014,926.956818127845,87.043181872155
"42",327,1090,3,139,598,953.54363635559,-355.54363635559
"43",682,654,2,130,1146,929.79055919861,216.20944080139
"44",921,1150,4,84,1161,947.341606847557,213.658393152443
"45",2248,881,5,403,897,935.452757506405,-38.4527575064052
"46",356,1090,3,139,682,953.54363635559,-271.54363635559
"47",1057,1150,4,300,1400,957.65128609345,442.34871390655
"48",993,1150,4,288,1221,957.078526135345,263.921473864655
"49",577,654,2,223,913,934.229448873925,-21.2294488739248
"50",1595,1131,3,30,1254,951.274353604291,302.725646395709
"51",2096,881,5,317,1162,931.347977806651,230.652022193349
"52",1577,1131,3,101,1219,954.663183356413,264.336816643587
"53",1615,1131,3,158,1272,957.383793157413,314.616206842587
"54",685,654,2,130,1147,929.79055919861,217.20944080139
"55",1024,1150,4,11,1304,943.857317102417,360.142682897583
"56",1339,1150,4,232,1320,954.405646330854,365.594353669146
"57",539,654,2,257,760,935.852268755223,-175.852268755223
"58",1281,1150,4,76,782,946.959766875487,-164.959766875487
"59",2282,881,5,66,713,919.367748682951,-206.367748682951
"60",1262,1150,4,237,1381,954.644296313398,426.355703686602
"61",2013,881,5,86,950,920.322348613127,29.6776513868734
"62",1312,1150,4,307,1102,957.985396069012,144.014603930988
"63",213,1090,3,48,698,949.200206673293,-251.200206673293
"64",1596,1131,3,30,1254,951.274353604291,302.725646395709
"65",1480,999,3,102,1060,945.267160509103,114.732839490897
"66",1299,1150,4,76,739,946.959766875487,-207.959766875487
"67",967,1150,4,87,1187,947.484796837083,239.515203162917
"68",2231,881,5,206,701,926.049948194178,-225.049948194178
"69",1590,1131,3,218,1245,960.247592947939,284.752407052061
"70",1651,1131,3,327,1364,965.450162567394,398.549837432606
